N_total,error,log10_error
10270486,3.0477160072854338E-5,-4.516025503938421
10280486,8.66731995752035E-5,-4.062115170988847
10290485,3.996231317189457E-5,-4.398349381088849
10300485,9.394321234968981E-5,-4.027134593376834
10310484,2.472021981728795E-4,-3.606947671730037
10320484,1.4905706915457382E-5,-4.826647422368546
10330483,7.609194356927741E-5,-4.1186613228434314
10340483,4.476673830324594E-6,-5.349044547084167
10350482,2.823791751609155E-5,-4.549167334695958
10360482,1.5367449637867776E-4,-3.813398201472565
10370481,1.329987485078827E-4,-3.876152445639515
10380481,5.87879977580273E-5,-4.230711331058547
10390480,1.8161404496514226E-4,-3.74085056872794
10400480,2.553840948975695E-4,-3.5928061537183034
10410479,9.981037786220016E-5,-4.000824300256041
10420479,1.2547695960818923E-4,-3.9014360130965713
10430478,4.195949201281618E-5,-4.3771697782803445
10440478,4.4176729829922685E-5,-4.354806435802378
10450477,3.550804651497245E-5,-4.449673219872551
10460477,1.2761320295761114E-4,-3.894104390857767
10470476,1.470932550088001E-4,-3.8324072414779065
10480476,5.904493321138817E-6,-5.228817364312051
10490475,9.913561836763393E-5,-4.003770280113243
10500475,1.1407465331732828E-4,-3.942810842411537
10510474,5.7902050019388895E-5,-4.237306059824421
10520474,1.6222462453017458E-5,-4.789883222345119
10530473,7.77265244902656E-5,-4.109430751160394
10540473,1.118728157466962E-4,-3.9512754309468017
10550472,1.6875181642314708E-4,-3.7727515437810624
10560472,3.4640383078549216E-5,-4.460417313883902
10570471,3.0413091658010627E-5,-4.516939429189452
10580471,1.4157736661109797E-4,-3.8490061699624243
10590470,2.415696482447159E-4,-3.6169576330802733
10600470,1.7143900996474798E-4,-3.765890349946211
10610469,8.023740804403177E-6,-5.095623109029958
10620469,6.963509753778764E-5,-4.1571718117539005
10630468,1.9691145168404566E-4,-3.705729026073315
10640468,1.9986216211274377E-5,-4.6992694186936435
10650467,8.891710344929205E-5,-4.051014693256878
10660467,1.9780961256126217E-4,-3.703752607678793
10670466,8.185726141787608E-6,-5.086942789021309
10680466,5.550740914219437E-5,-4.255649043277177
